Adv2,RINGS,78,12
1,2,16,21
1,2,8,19
1,2,12,20
12,2,1,31
12,2,5,29
12,2,9,27
13,2,26,25
13,2,29,28
14,2,0,31
4,3,31,15
4,3,25,9
4,3,28,12
10,3,19,14
10,3,22,17
10,3,25,20
11,3,8,13
11,3,16,21
11,3,0,21
11,3,2,15
11,3,14,15
11,3,29,1
12,3,28,9
12,3,30,3
13,3,4,1
13,3,12,9
13,3,10,3
14,3,16,15
14,3,19,18
14,3,22,21
17,3,28,18
17,3,20,18
17,3,24,18
19,3,5,6
19,3,10,8
19,3,15,10
20,3,0,24
20,3,6,26
20,3,12,28
21,3,18,28
21,3,24,28
21,3,21,28
23,3,9,29
23,3,13,29
23,3,17,29
23,3,24,21
23,3,26,15
24,3,0,13
24,3,8,21
24,3,6,15
9,4,18,20
9,4,10,12
9,4,14,16
12,4,15,25
12,4,18,25
12,4,21,25
16,4,17,17
16,4,20,20
16,4,24,22
17,4,8,5
17,4,0,13
17,4,2,7
17,4,14,7
17,4,16,13
19,4,4,10
19,4,8,13
19,4,12,16
20,4,18,29
20,4,8,10
20,4,12,13
20,4,16,16
24,4,29,25
24,4,24,29
25,4,11,25
25,4,16,29
38,4,24,25
38,4,26,19
39,4,0,17
39,4,6,19
39,4,8,25
10,5,26,10
10,5,30,14
11,5,2,18
14,5,30,20
15,5,1,20
15,5,4,20
17,5,30,20
18,5,1,20
18,5,4,20
19,5,6,15
19,5,9,15
19,5,3,15
20,5,15,0
20,5,11,1
21,5,10,10
21,5,10,14
21,5,10,2
21,5,10,6
23,5,7,3
23,5,10,3
23,5,13,3
24,5,19,9
24,5,20,2
25,5,20,2
25,5,21,9
30,5,16,19
30,5,20,19
30,5,12,19
32,5,5,26
32,5,1,29
32,5,5,29
32,5,9,26
32,5,9,29
32,5,1,26
18,6,24,1
18,6,16,9
18,6,18,3
18,6,30,3
18,6,1,17
18,6,5,17
18,6,9,17
19,6,0,9
19,6,25,26
19,6,28,26
19,6,31,26
22,6,21,17
22,6,18,17
22,6,24,17
26,6,20,0
26,6,24,3
26,6,28,6
27,6,24,0
27,6,28,3
28,6,0,6
29,6,9,14
29,6,17,17
29,6,13,16
29,6,24,9
29,6,26,3
30,6,0,1
30,6,8,9
30,6,6,3
30,6,25,29
30,6,29,29
31,6,16,13
31,6,8,21
31,6,24,21
31,6,10,15
31,6,22,15
31,6,1,29
33,6,0,25
33,6,4,25
33,6,8,25
41,6,18,12
41,6,15,12
41,6,12,12
42,6,24,25
42,6,18,27
42,6,30,27
51,6,20,26
51,6,16,26
51,6,12,26
53,6,26,27
54,6,0,25
54,6,6,27
24,7,24,5
24,7,16,13
24,7,18,7
24,7,30,7
24,7,1,21
24,7,5,21
24,7,9,21
25,7,0,13
28,7,8,29
28,7,12,31
32,7,31,19
32,7,28,19
33,7,2,19
35,7,15,15
35,7,9,9
35,7,12,12
39,7,11,31
39,7,15,29
39,7,19,27
42,7,16,1
42,7,1,6
42,7,5,7
42,7,9,8
42,7,28,30
42,7,25,30
42,7,31,30
43,7,0,1
44,7,0,22
44,7,4,20
44,7,6,16
47,7,27,17
47,7,28,10
47,7,10,16
47,7,14,17
47,7,18,19
48,7,12,0
48,7,29,17
48,7,5,1
48,7,0,5
48,7,19,1
48,7,28,10
48,7,24,5
50,7,24,16
50,7,26,10
51,7,0,8
51,7,8,16
51,7,6,10
51,7,19,30
53,7,24,1
53,7,9,5
53,7,12,8
53,7,6,2
54,7,8,1
28,8,16,1
30,8,2,20
30,8,5,23
30,8,9,25
31,8,5,25
31,8,9,24
31,8,13,23
32,8,10,12
32,8,14,10
32,8,18,8
36,8,25,4
36,8,29,5
37,8,1,6
39,8,7,1
44,8,8,21
44,8,0,29
44,8,2,23
44,8,14,23
44,8,16,29
46,8,26,1
46,8,26,5
46,8,26,9
46,8,26,13
48,8,25,22
48,8,28,25
48,8,31,28
50,8,13,23
50,8,16,23
50,8,19,23
51,8,23,0
51,8,27,2
53,8,8,2
53,8,12,5
53,8,16,8
54,8,12,2
54,8,16,5
54,8,20,8
55,8,29,25
56,8,20,9
56,8,12,17
56,8,28,17
56,8,14,11
56,8,26,11
56,8,1,25
56,8,5,25
59,8,9,28
59,8,12,28
59,8,15,28
43,9,17,2
43,9,21,3
43,9,25,4
49,9,10,7
49,9,13,10
49,9,16,13
51,9,14,24
51,9,18,26
51,9,22,28
55,9,12,19
55,9,15,22
55,9,18,25
58,9,16,13
58,9,8,21
58,9,10,15
58,9,22,15
58,9,24,21
54,10,10,9
54,10,14,7
54,10,16,3
56,10,9,3
56,10,6,0
56,10,12,6
58,10,5,26
58,10,9,24
58,10,13,22
