Adv2,ENEMIES,85,15,,,,,
34,2,9,26,PEN,-6,1,12,0
28,3,21,5,BALLOON,-3,0,6,0
41,3,14,12,BALLOON,-6,0,12,0
6,4,14,16,PEN,-8,1,16,0
14,4,3,22,PEN,-6,1,12,0
34,4,24,19,BALLOON,0,0,0,0
35,4,3,17,BALLOON,0,0,0,0
46,5,20,15,BALLOON,-3,0,6,0
6,7,10,10,PEN,-6,1,12,0
28,7,22,11,BALLOON,-3,0,6,0
35,7,24,22,PEN,-6,1,12,0
59,7,11,16,PEN,-4,1,8,0
34,8,21,1,BALLOON,-3,0,6,0
46,8,28,2,PEN,-3,1,6,0
14,9,8,0,PEN,-6,1,12,0
27,9,16,17,HAMMERHEAD,0,0,0,0
27,9,29,11,HAMMERHEAD,0,0,0,64
56,9,27,12,PEN,-3,1,6,0
61,9,27,6,PEN,-3,1,6,0
31,10,2,16,PEN,-2,1,4,0
31,10,23,16,PEN,-2,1,4,0
64,10,29,17,BALLOON,0,0,0,0
65,10,9,14,BALLOON,0,0,0,0
17,11,25,2,PEN,-3,1,6,0
18,11,18,2,PEN,-3,1,6,0
60,11,19,20,BALLOON,-6,0,12,0
