Adv2,INTERACTABLES,78,12,,,,,
34,0,24,12,TOGGLE__CHECKPOINT,0,0,0,0
66,0,3,12,TOGGLE__GOAL,0,0,0,0
34,1,24,28,TOGGLE__CHECKPOINT,0,0,0,0
34,1,24,4,TOGGLE__CHECKPOINT,0,0,0,0
66,1,3,28,TOGGLE__GOAL,0,0,0,0
66,1,3,4,TOGGLE__GOAL,0,0,0,0
12,2,24,24,GRIND_RAIL__END_GROUND,-6,-2,12,2
13,2,4,29,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
13,2,0,29,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
13,2,16,24,GRIND_RAIL__START_GROUND,-5,-2,10,2
13,2,7,29,CEILING_SLOPE__A,0,0,7,15
13,2,2,18,SPECIAL_RING,0,0,0,0
15,2,10,19,SPECIAL_RING,0,0,0,0
34,2,24,20,TOGGLE__CHECKPOINT,0,0,0,0
66,2,3,20,TOGGLE__GOAL,0,0,0,0
5,3,23,18,RAMP,0,0,0,0
6,3,28,10,DECORATION,3,0,0,0
9,3,0,24,BOUNCY_BAR,0,0,0,0
9,3,10,6,SPIKES__NORMAL_UP,0,0,0,0
9,3,26,5,DECORATION,4,0,0,0
10,3,25,12,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,19
10,3,23,12,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,19
10,3,23,10,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
10,3,30,2,DECORATION,3,0,0,0
11,3,4,9,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
11,3,8,9,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
11,3,20,4,GRIND_RAIL__START_GROUND,-6,-2,12,2
11,3,5,2,DECORATION,1,0,0,0
13,3,4,30,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,12,4
13,3,1,30,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,3,7
15,3,0,24,GRIND_RAIL__END_AIR,-9,-2,18,2
17,3,18,28,SPRING__UP,1,0,0,0
18,3,24,6,GRIND_RAIL__START_AIR,-9,-3,18,3
20,3,20,29,GRIND_RAIL__END_AIR,-6,-2,12,2
21,3,15,31,ROTATING_HANDLE,0,0,0,0
23,3,17,12,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,21
23,3,15,12,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,21
23,3,15,10,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
23,3,28,9,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
24,3,0,9,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
34,3,24,12,TOGGLE__CHECKPOINT,0,0,0,0
66,3,3,12,TOGGLE__GOAL,0,0,0,0
11,4,25,16,RAMP,1,0,0,0
12,4,12,28,ROTATING_HANDLE,0,0,0,0
13,4,4,20,BOUNCY_BAR,0,0,0,0
13,4,12,10,SPRING__UP,3,0,0,0
13,4,4,2,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,12,3
15,4,10,16,BOUNCY_SPRING,0,0,0,0
16,4,25,4,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,21
16,4,23,4,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,22
16,4,23,2,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
17,4,4,1,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
17,4,8,1,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
18,4,12,15,CORK_SCREW__START,-2,-11,4,12
19,4,31,30,SPECIAL_RING,0,0,0,0
20,4,20,15,CORK_SCREW__STOP,-2,-11,4,12
24,4,9,30,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,22
24,4,7,30,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,22
24,4,7,28,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
24,4,30,20,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,6,6
25,4,25,10,RAMP,1,0,0,0
25,4,4,20,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,6,6
25,4,4,24,SPECIAL_RING,0,0,0,0
34,4,24,28,TOGGLE__CHECKPOINT,0,0,0,0
34,4,24,4,TOGGLE__CHECKPOINT,0,0,0,0
38,4,28,13,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
39,4,0,13,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
39,4,3,13,CEILING_SLOPE__A,0,0,7,15
66,4,3,28,TOGGLE__GOAL,0,0,0,0
66,4,3,4,TOGGLE__GOAL,0,0,0,0
11,5,18,20,INCLINE_RAMP,0,0,2,12
13,5,3,18,DECORATION,1,0,0,0
15,5,22,17,ROTATING_HANDLE,0,0,0,0
18,5,7,30,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
18,5,20,29,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
18,5,24,29,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
19,5,6,20,SPIKES__HIDING_UP,0,0,0,0
21,5,10,26,SPRING__UP,3,0,0,0
29,5,15,30,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
29,5,28,29,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
30,5,0,29,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
30,5,1,24,SPIKES__NORMAL_UP,0,0,0,0
34,5,24,20,TOGGLE__CHECKPOINT,0,0,0,0
38,5,29,14,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,3,7
38,5,23,30,ROTATING_HANDLE,0,0,0,0
39,5,0,14,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,12,4
39,5,0,18,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,12,3
39,5,8,26,SPRING__UP,3,0,0,0
40,5,16,26,GRIND_RAIL__START_GROUND,-6,-2,12,2
66,5,3,20,TOGGLE__GOAL,0,0,0,0
12,6,30,12,BOOSTER,0,0,0,0
15,6,12,21,BOUNCY_BAR,0,0,0,0
15,6,29,11,DECORATION,4,0,0,0
18,6,9,0,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,21
18,6,7,0,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,21
22,6,14,30,SPRING__UP,0,0,0,0
22,6,9,30,SPIKES__NORMAL_UP,0,0,0,0
23,6,8,12,GRIND_RAIL__START_AIR,-14,-3,28,3
24,6,12,28,GRIND_RAIL__END_ALTERNATE,-4,-2,8,2
25,6,28,5,CORK_SCREW__START,-2,-11,4,12
25,6,16,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,3,22
25,6,19,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,27,3
26,6,14,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,27,3
27,6,9,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,3,21
28,6,4,5,CORK_SCREW__STOP,-2,-11,4,12
28,6,4,22,BOUNCY_BAR,0,0,0,0
28,6,10,6,BOOSTER,0,0,0,0
29,6,17,0,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,24
29,6,15,0,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,24
30,6,31,12,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,24
30,6,31,10,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
31,6,1,12,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,24
31,6,12,9,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
31,6,16,9,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
31,6,24,4,SPRING__SMALL_UPRIGHT,0,0,0,0
33,6,24,12,GRIND_RAIL__START_AIR,-11,-3,22,3
34,6,24,30,CHECKPOINT,0,0,0,0
34,6,24,12,TOGGLE__CHECKPOINT,0,0,0,0
35,6,4,20,GRIND_RAIL__END_AIR,-8,-2,16,2
38,6,5,12,RAMP,0,0,0,0
40,6,13,30,RAMP,0,0,0,0
41,6,9,15,ROTATING_HANDLE,0,0,0,0
42,6,9,24,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,3,24
42,6,7,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,2,24
42,6,7,22,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,5,2
42,6,20,21,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
42,6,24,21,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
42,6,31,16,SPIKES__NORMAL_UP,0,0,0,0
42,6,12,16,GRIND_RAIL__END_ALTERNATE,-3,-2,6,2
43,6,4,16,GRIND_RAIL__START_GROUND,-5,-2,10,2
48,6,6,28,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,6,6
