Adv2,ENEMIES,109,18,,,,,
21,1,7,10,BALLOON,-3,0,6,0
33,2,7,4,BALLOON,-2,0,4,0
33,2,19,8,BALLOON,-2,0,4,0
5,3,14,11,PEN,-3,1,6,0
33,3,5,24,PEN,-2,1,4,0
39,3,18,13,BALLOON,-2,0,4,0
42,3,12,6,PEN,-6,1,12,0
22,4,23,4,PEN,-6,1,12,0
11,5,12,20,PEN,-6,1,12,0
18,5,6,20,PEN,-3,1,6,0
46,5,6,18,BALLOON,0,0,0,0
30,6,31,10,BALLOON,-2,0,4,0
30,6,6,30,PEN,-1,0,2,0
43,6,24,12,PEN,-6,1,12,0
43,7,11,28,PEN,-3,1,6,0
53,7,14,4,PEN,-1,1,2,0
49,9,0,24,PEN,-3,1,6,0
57,10,12,4,PEN,-3,1,6,0
58,10,2,4,PEN,-3,1,6,0
67,11,14,12,BALLOON,-2,0,4,0
72,11,14,4,BALLOON,-3,0,6,0
79,11,9,26,BALLOON,-3,0,6,0
52,12,4,18,PEN,-3,1,6,0
66,13,24,28,PEN,-1,1,2,0
67,13,8,28,PEN,-3,1,6,0
83,13,18,28,PEN,-3,1,6,0
81,14,17,20,BALLOON,-1,0,2,0
77,16,25,16,PEN,-3,1,6,0
