Adv2,RINGS,84,12
47,0,24,22
47,0,29,22
47,0,19,22
48,0,26,29
48,0,30,29
49,0,2,29
50,0,24,26
50,0,27,29
38,1,30,31
39,1,3,31
39,1,8,31
39,1,13,31
39,1,18,31
41,1,15,18
41,1,19,20
41,1,23,22
42,1,31,27
43,1,3,27
43,1,7,27
44,1,5,8
44,1,9,8
44,1,13,8
50,1,30,0
52,1,17,7
52,1,23,7
52,1,29,7
24,2,29,11
25,2,1,11
25,2,5,11
25,2,30,18
26,2,2,18
26,2,6,18
28,2,25,21
29,2,1,23
29,2,9,25
39,2,13,31
41,2,7,31
41,2,11,29
47,2,15,5
47,2,19,4
47,2,23,3
51,2,26,27
51,2,26,31
52,2,17,7
52,2,23,7
52,2,29,7
10,3,0,31
10,3,4,31
10,3,8,31
25,3,10,28
27,3,30,29
28,3,23,2
28,3,29,5
28,3,8,29
28,3,3,29
29,3,3,8
30,3,27,21
30,3,31,19
30,3,31,2
31,3,3,17
31,3,3,4
31,3,7,6
33,3,13,7
33,3,17,7
33,3,21,7
36,3,3,4
36,3,7,3
36,3,11,2
39,3,13,28
39,3,17,26
39,3,21,24
39,3,17,1
39,3,21,3
41,3,3,1
41,3,3,26
41,3,7,28
41,3,11,30
41,3,28,29
42,3,0,29
42,3,4,29
46,3,13,26
46,3,17,26
46,3,21,26
48,3,26,10
48,3,30,10
49,3,2,10
51,3,26,3
53,3,25,27
53,3,28,30
54,3,5,12
54,3,9,13
54,3,13,14
58,3,2,2
58,3,6,2
58,3,10,2
60,3,14,2
60,3,8,2
60,3,11,2
61,3,11,14
61,3,15,16
61,3,19,18
63,3,31,25
63,3,27,27
63,3,23,29
67,3,25,25
67,3,29,26
68,3,1,27
10,4,22,15
10,4,26,15
10,4,30,15
13,4,11,26
13,4,15,26
13,4,19,26
15,4,30,10
15,4,25,10
16,4,12,30
16,4,3,10
21,4,20,30
25,4,18,4
25,4,14,0
30,4,5,19
30,4,9,23
30,4,13,27
32,4,30,2
32,4,30,6
32,4,30,10
38,4,7,23
38,4,11,23
38,4,15,23
38,4,8,2
38,4,12,2
38,4,16,2
39,4,31,30
39,4,25,16
39,4,29,18
39,4,25,18
39,4,29,16
40,4,3,31
42,4,28,2
43,4,2,2
43,4,8,2
44,4,28,2
45,4,2,2
45,4,8,2
46,4,26,7
47,4,0,7
47,4,6,7
47,4,12,7
50,4,30,16
51,4,6,8
51,4,2,12
53,4,31,1
55,4,29,0
56,4,1,1
56,4,5,2
62,4,8,20
62,4,12,19
62,4,16,18
69,4,9,7
69,4,13,9
69,4,17,11
70,4,29,24
71,4,1,25
71,4,5,26
16,5,6,4
16,5,9,1
19,5,5,16
19,5,10,16
19,5,15,16
21,5,26,0
22,5,0,2
26,5,10,27
26,5,14,27
26,5,6,27
28,5,5,12
28,5,9,12
28,5,13,12
31,5,6,20
31,5,10,24
31,5,2,16
32,5,30,10
32,5,30,6
32,5,30,2
34,5,27,18
35,5,7,18
35,5,1,18
36,5,10,18
36,5,16,18
36,5,22,18
40,5,7,0
40,5,31,18
40,5,26,18
40,5,21,18
48,5,2,11
48,5,7,11
48,5,12,11
49,5,18,28
49,5,22,24
49,5,26,20
53,5,18,25
53,5,23,25
53,5,28,25
55,5,7,2
55,5,11,4
55,5,15,6
57,5,28,2
58,5,0,2
58,5,4,2
61,5,6,11
61,5,11,11
61,5,16,11
63,5,28,10
63,5,31,13
64,5,2,16
9,6,28,9
10,6,0,9
10,6,4,9
14,6,28,30
15,6,6,30
15,6,1,30
22,6,23,8
22,6,27,8
22,6,31,8
24,6,7,9
24,6,12,8
24,6,17,7
31,6,19,19
31,6,16,22
31,6,13,25
32,6,11,31
32,6,15,30
34,6,7,6
34,6,11,8
34,6,15,10
35,6,11,30
38,6,9,23
38,6,13,25
38,6,5,21
46,6,31,9
46,6,27,11
47,6,3,7
55,6,11,2
55,6,15,4
55,6,19,6
60,6,3,17
60,6,8,16
60,6,12,14
64,6,19,18
64,6,23,18
64,6,15,18
65,6,18,28
65,6,22,30
66,6,15,1
66,6,11,2
66,6,7,3
69,6,2,27
69,6,7,27
69,6,12,27
2,7,9,30
2,7,13,30
2,7,17,30
9,7,5,22
9,7,9,23
9,7,13,24
11,7,24,31
11,7,29,31
12,7,2,31
13,7,11,13
13,7,15,12
13,7,19,11
21,7,27,13
22,7,0,13
22,7,5,13
23,7,27,26
24,7,0,26
24,7,5,26
28,7,8,0
28,7,12,0
28,7,16,0
32,7,7,0
34,7,22,31
34,7,7,31
34,7,12,31
34,7,17,31
35,7,15,0
35,7,19,2
47,7,3,6
47,7,7,8
47,7,11,10
48,7,25,30
48,7,29,31
50,7,28,28
50,7,28,30
51,7,0,28
51,7,4,28
51,7,0,30
51,7,4,30
52,7,7,22
52,7,10,22
52,7,7,24
52,7,10,24
58,7,14,20
58,7,4,20
58,7,9,20
60,7,3,26
60,7,11,26
60,7,19,26
61,7,13,29
61,7,17,30
61,7,21,31
65,7,26,0
67,7,15,13
67,7,19,13
67,7,23,13
68,7,12,27
68,7,17,27
68,7,22,27
1,8,22,2
1,8,14,5
1,8,18,3
4,8,24,14
4,8,27,17
4,8,30,20
4,8,29,1
5,8,3,4
5,8,9,7
11,8,9,28
11,8,13,29
11,8,17,30
22,8,3,11
22,8,8,11
22,8,13,11
24,8,31,1
25,8,3,5
25,8,7,9
28,8,25,11
28,8,30,11
28,8,20,11
31,8,23,6
31,8,27,6
31,8,31,6
37,8,30,14
38,8,2,16
38,8,6,18
39,8,1,14
39,8,6,14
39,8,11,14
39,8,1,16
39,8,6,16
39,8,11,16
40,8,12,8
40,8,12,6
40,8,15,6
40,8,15,8
49,8,1,0
54,8,1,7
54,8,5,6
54,8,9,5
5,9,31,21
6,9,2,24
6,9,5,27
7,9,26,8
7,9,29,8
8,9,0,8
9,9,17,7
9,9,21,7
9,9,25,7
12,9,19,15
12,9,24,15
12,9,29,15
14,9,18,26
14,9,22,25
14,9,26,24
16,9,28,5
16,9,20,3
17,9,4,7
18,9,27,11
19,9,0,9
19,9,5,7
21,9,1,5
21,9,5,5
21,9,9,5
22,9,30,8
22,9,30,12
22,9,30,16
29,9,21,3
29,9,27,5
30,9,1,7
34,9,8,2
34,9,11,5
34,9,14,8
53,9,31,19
54,9,7,19
54,9,3,19
55,9,21,24
55,9,25,22
55,9,27,18
56,9,22,9
56,9,26,9
56,9,30,9
58,9,16,17
58,9,10,14
58,9,22,20
61,9,5,10
61,9,10,10
61,9,15,10
11,10,9,30
11,10,13,31
11,10,5,29
14,10,9,18
14,10,13,19
14,10,17,20
16,10,27,4
16,10,30,4
17,10,1,4
19,10,28,13
19,10,24,13
