Adv2,ITEMS,132,19,
16,2,7,20,ONE_UP
17,2,8,14,SHIELD
12,3,31,30,RINGS_10
19,3,6,22,RINGS_RANDOM
31,3,8,16,SHIELD
10,4,11,4,RINGS_5
15,4,10,13,RINGS_10
58,4,14,28,RINGS_10
10,5,20,20,SHIELD_MAGNETIC
24,5,3,17,RINGS_5
31,5,31,20,ONE_UP
32,5,5,20,RINGS_RANDOM
27,6,28,5,RINGS_RANDOM
24,7,13,0,RINGS_RANDOM
27,7,6,4,SHIELD
33,7,28,4,RINGS_10
41,7,14,21,INVINCIBILITY
42,7,0,21,RINGS_5
50,7,6,4,SHIELD_MAGNETIC
55,8,20,15,RINGS_RANDOM
65,8,18,23,SPEED_UP
49,9,3,6,RINGS_5
53,9,11,6,INVINCIBILITY
69,10,6,28,SHIELD_MAGNETIC
56,11,30,14,RINGS_5
87,12,6,9,RINGS_RANDOM
93,12,19,0,RINGS_5
109,12,10,3,ONE_UP
47,13,22,10,SHIELD
59,13,27,19,INVINCIBILITY
67,13,17,28,RINGS_5
89,13,30,4,ONE_UP
104,13,10,28,SPEED_UP
78,14,4,21,SHIELD_MAGNETIC
101,15,12,4,ONE_UP
86,16,16,22,INVINCIBILITY
