Adv2,RINGS,170,2
6,0,8,24
6,0,13,25
6,0,3,23
8,0,14,21
8,0,17,21
8,0,20,21
11,0,21,18
11,0,25,21
11,0,21,21
11,0,25,18
13,0,17,19
13,0,20,19
13,0,23,19
16,0,7,25
16,0,10,25
16,0,13,25
29,0,13,22
29,0,18,21
29,0,23,20
33,0,25,19
33,0,29,19
34,0,1,19
42,0,1,23
42,0,12,23
42,0,24,23
45,0,19,14
45,0,23,14
45,0,17,17
45,0,21,17
58,0,21,18
58,0,24,18
58,0,27,18
61,0,19,23
61,0,24,23
61,0,28,23
63,0,24,16
63,0,28,16
63,0,24,19
63,0,28,19
64,0,0,16
64,0,0,19
75,0,1,18
75,0,5,18
75,0,9,18
78,0,1,16
78,0,8,16
78,0,15,16
82,0,9,18
82,0,14,18
82,0,20,18
95,0,8,21
95,0,12,21
95,0,16,21
97,0,29,20
98,0,0,20
98,0,3,20
98,0,6,20
104,0,28,14
104,0,31,14
105,0,2,14
120,0,13,26
120,0,21,23
120,0,17,24
128,0,21,22
128,0,25,22
128,0,29,22
134,0,7,19
134,0,10,19
134,0,13,19
138,0,24,22
138,0,30,22
138,0,27,22
154,0,2,28
154,0,6,28
154,0,10,28
154,0,29,10
155,0,1,10
155,0,5,10
159,0,25,14
159,0,29,14
160,0,1,14
160,0,15,28
160,0,11,28
160,0,7,28
167,1,21,0
167,1,24,0
167,1,27,0
