Adv2,INTERACTABLES,8,5,,,,,
0,1,14,26,TRACK,10,0,20,3
0,1,20,26,PIPE_EXIT,-20,20,2,4
1,1,30,21,PLATFORM_THIN,0,0,5,2
1,1,26,28,ITEMBOX_CHAOHUNT,3,0,0,0
2,1,13,13,PLATFORM_THIN,0,0,7,2
2,1,28,21,PLATFORM_THIN,-3,0,5,2
3,1,15,28,ITEMBOX_CHAOHUNT,2,0,0,0
4,1,4,12,SPRING__BIG_UPRIGHT,0,-44,0,0
4,1,10,18,CONVEYOR_BELT,1,0,12,5
4,1,16,30,CONVEYOR_BELT,0,0,18,5
5,1,29,4,ITEMBOX_CHAOHUNT,0,0,0,0
5,1,5,13,PLATFORM_THIN__FALLING,91,-45,0,0
5,1,5,23,PLATFORM_THIN__FALLING,91,-55,0,0
2,2,6,3,BOUNCE_BLOCK,-70,-67,0,0
2,2,30,7,BOUNCE_BLOCK,-94,-71,0,0
5,2,20,2,HOOK_RAIL,2,-66,0,0
6,2,28,0,PIPE_EXIT,36,20,3,4
6,2,3,8,ITEMBOX_CHAOHUNT,6,0,0,0
7,2,2,0,TRACK,-8,0,20,3
0,3,27,22,PIPE_ENTRANCE,0,16,1,0
1,3,31,0,TRAMPOLINE,-63,-96,0,0
1,3,28,24,ITEMBOX_CHAOHUNT,4,0,0,0
1,3,6,25,SPRING__UP,0,-121,0,0
3,3,18,6,ITEMBOX_CHAOHUNT,5,0,0,0
4,3,7,12,TRAMPOLINE,121,-108,0,0
4,3,11,12,ITEMBOX_CHAOHUNT,1,0,0,0
6,3,21,28,PIPE_ENTRANCE,0,9,1,0
6,3,1,30,ITEMBOX_CHAOHUNT,7,0,0,0
6,3,12,31,SPRING__LEFT,3,-127,0,0
0,4,14,2,TRACK,0,-75,60,2
0,4,27,2,TRACK,-16,0,20,1
6,4,21,2,TRACK,17,0,20,1
7,4,2,2,TRACK,0,-69,60,2
