Adv2,INTERACTABLES,6,8,,,,,
1,0,8,28,PLATFORM_THIN,0,0,8,2
1,0,22,31,WALL_POLE__RIGHT,-54,-31,0,0
2,0,1,24,RED_FLAG,0,-24,0,0
3,0,23,31,FLIPPER,0,-31,0,0
4,0,12,23,WALL_BUMPER,2,0,4,18
4,0,4,24,WALL_BUMPER,1,0,4,13
1,1,4,16,BUMPER_ROUND__CIRCULAR,6,5,8,2
1,1,4,16,BUMPER_ROUND__CIRCULAR,2,5,8,2
1,1,4,16,BUMPER_ROUND__CIRCULAR,4,5,8,2
1,1,4,16,BUMPER_ROUND__LINEAR,-36,-48,0,0
1,1,4,16,BUMPER_ROUND__CIRCULAR,0,5,8,2
2,1,2,4,BUMPER_TRI__BIG,0,0,0,0
2,1,25,4,ITEMBOX_CHAOHUNT,0,0,0,0
3,1,0,10,WALL_POLE__LEFT,-96,-42,0,0
4,1,4,5,WALL_BUMPER,1,0,4,13
4,1,12,9,WALL_BUMPER,2,0,4,14
4,1,4,18,WALL_BUMPER,1,0,4,13
4,1,12,23,WALL_BUMPER,2,0,4,15
4,1,4,31,WALL_BUMPER,1,0,4,16
0,2,25,28,FLIPPER,1,-92,0,0
1,2,0,4,PLATFORM_THIN,0,0,7,2
1,2,16,14,WALL_POLE__RIGHT,-48,-78,0,0
1,2,28,16,MARBLE_TRACK__UNK,45,32,30,0
2,2,31,0,MARBLE_TRACK__DIR,-51,25,90,31
2,2,17,8,ITEMBOX_CHAOHUNT,1,0,0,0
2,2,2,9,SPRING__UP,1,-73,0,0
2,2,20,14,WALL_POLE__LEFT,-84,-78,0,0
3,2,3,0,MARBLE_TRACK__ENTRANCE,60,0,56,0
3,2,3,1,MARBLE_TRACK__DIR,-6,0,30,30
3,2,5,21,FLIPPER,0,-85,0,0
4,2,12,6,WALL_BUMPER,2,0,4,14
4,2,4,15,WALL_BUMPER,1,0,4,17
0,3,12,12,BUMPER_TRI__BIG,-12,0,0,0
1,3,15,19,FLIPPER,0,-115,0,0
1,3,30,23,MARBLE_TRACK__DIR,-66,33,60,33
2,3,6,12,ITEMBOX_CHAOHUNT,2,0,0,0
2,3,21,19,FLIPPER,1,-115,0,0
3,3,24,12,BUMPER_TRI__BIG,0,0,0,0
4,3,16,6,WALL_POLE__RIGHT,112,-102,0,0
4,3,16,18,WALL_POLE__RIGHT,112,-114,0,0
4,3,16,31,WALL_POLE__RIGHT,112,-127,0,0
0,4,24,6,SPRING__SMALL_UPRIGHT,0,122,0,0
0,4,21,8,MARBLE_TRACK__EXIT,-21,40,1,0
0,4,22,8,MARBLE_TRACK__DIR,-6,0,30,39
0,4,30,28,BUMPER_TRI__BIG,-30,100,0,0
0,4,15,29,SPRING__UP,1,99,0,0
1,4,7,10,PLATFORM_THIN,0,0,6,2
2,4,27,10,PLATFORM_THIN,0,0,5,2
2,4,0,20,PLATFORM_THIN,-12,0,14,2
2,4,27,28,ITEMBOX_CHAOHUNT,3,0,0,0
3,4,12,6,SPRING__SMALL_UPLEFT,0,122,0,0
3,4,18,17,WALL_POLE__LEFT,-114,111,0,0
3,4,6,28,BUMPER_TRI__BIG,0,100,0,0
3,4,22,28,ITEMBOX_CHAOHUNT,4,0,0,0
1,5,11,18,FLIPPER,1,78,0,0
2,5,25,18,FLIPPER,0,78,0,0
4,5,6,15,SPRING__UP,0,81,0,0
4,5,10,15,SPRING__UP,0,81,0,0
4,5,14,15,SPRING__UP,2,81,0,0
0,6,27,6,RED_FLAG,0,58,0,0
0,6,25,24,ITEMBOX_CHAOHUNT,7,0,0,0
1,6,17,0,ITEMBOX_CHAOHUNT,5,0,0,0
1,6,30,1,SPRING__UP,2,63,0,0
1,6,4,19,FLIPPER__VERTICAL,-36,45,0,0
2,6,19,0,ITEMBOX_CHAOHUNT,6,0,0,0
2,6,2,1,SPRING__UP,2,63,0,0
2,6,6,1,SPRING__UP,2,63,0,0
2,6,2,22,TELEPORT_ORB,5,2,0,-16
3,6,7,6,RED_FLAG,-103,0,0,0
3,6,0,19,FLIPPER__VERTICAL,-96,45,0,0
