Adv2,ENEMIES,30,11,,,,,
7,0,11,21,SLOT,-5,0,8,2
8,0,20,16,HANABII,-8,0,15,2
2,1,12,17,SLOT,-6,0,9,2
4,1,24,23,SLOT,-6,0,13,2
6,1,14,25,SLOT,-4,0,10,2
12,1,6,2,HANABII,-4,0,13,2
13,1,29,2,PIERROT,-4,0,5,2
18,1,29,20,SLOT,-5,0,14,2
16,2,17,13,SLOT,-3,0,11,2
20,2,19,12,SLOT,-2,0,8,2
21,2,20,12,SLOT,-3,0,8,2
5,3,18,21,SLOT,-3,0,10,2
9,3,16,21,SLOT,-2,0,9,2
15,3,28,22,SLOT,-5,0,14,2
2,4,14,17,SLOT,-3,0,10,2
2,4,0,19,SLOT,-3,0,9,2
3,4,28,26,HANABII,-4,0,11,2
7,4,1,10,SLOT,-4,0,12,2
17,5,28,2,PIERROT,-2,0,9,2
7,6,27,9,SLOT,-2,0,9,2
10,6,28,26,SLOT,-3,0,11,2
19,6,11,30,SLOT,-5,0,11,2
11,7,13,20,PIERROT,-8,0,15,2
22,7,21,3,SLOT,-6,0,13,2
17,8,29,6,HANABII,-6,0,12,2
29,8,30,26,EGG_BALL,66,-26,0,0
14,9,26,25,SLOT,-5,0,12,2
