Adv2,INTERACTABLES,41,12,,,,,
2,0,27,6,GRIND_RAIL__START,0,0,3,2
2,0,0,25,SPRING__UP,0,-25,0,0
3,1,28,5,GRIND_RAIL__END,0,0,9,4
4,1,11,11,ICE_BLOCK,117,-43,0,0
31,1,16,4,HOOK_RAIL,1,-36,0,0
31,1,0,29,SPRING__UP,0,-61,0,0
1,2,10,18,CONVEYOR_BELT,0,0,22,3
2,2,0,18,CONVEYOR_BELT,0,0,22,3
2,2,22,18,CONVEYOR_BELT,0,0,22,4
4,2,4,15,ICE_BLOCK,124,-79,0,0
11,2,28,9,SPECIAL_SPRING,-124,-73,0,0
13,2,6,15,SPRING__UP,1,-79,0,0
15,2,0,30,SPRING__BIG_UPLEFT,0,-94,0,0
17,2,20,12,SPRING__BIG_UPLEFT,0,-76,0,0
18,2,26,9,FERRIS_WHEEL,5,5,2,11
18,2,26,9,FERRIS_WHEEL,0,5,2,11
18,2,26,9,FERRIS_WHEEL,11,5,2,11
20,2,31,7,PLATFORM_THIN,-4,0,6,2
20,2,11,14,PLATFORM_THIN,0,0,6,2
28,2,4,16,TOGGLE_PLAYER_LAYER__BACK,0,0,2,4
28,2,6,16,TOGGLE_PLAYER_LAYER__BACK,0,0,16,3
28,2,22,16,TOGGLE_PLAYER_LAYER__BACK,0,0,16,3
29,2,6,16,TOGGLE_PLAYER_LAYER__BACK,0,0,2,4
29,2,9,20,CHECKPOINT,5,-84,0,0
30,2,26,30,CONVEYOR_BELT,0,0,22,4
31,2,16,30,CONVEYOR_BELT,0,0,22,4
32,2,10,26,SPIKES__HIDING_UP,-10,-90,0,0
33,2,30,8,TOGGLE_PLAYER_LAYER__BACK,0,0,6,2
33,2,19,20,TOGGLE_PLAYER_LAYER__BACK,0,0,2,13
33,2,21,20,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,13
34,2,1,10,PLATFORM_THIN__FALLING,-65,-74,0,0
35,2,7,25,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
35,2,10,25,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
7,3,23,28,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
7,3,23,30,TOGGLE_PLAYER_LAYER__BACK,0,0,2,21
7,3,25,30,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,21
8,3,4,29,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
8,3,7,29,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
8,3,26,29,PLATFORM_THIN,0,0,2,5
13,3,28,31,SPRING__BIG_UPRIGHT,0,-127,0,0
14,3,7,16,PLATFORM_THIN,0,0,2,5
18,3,14,7,PLATFORM_THIN,0,-3,2,5
18,3,4,13,PLATFORM_THIN,0,0,2,5
19,3,14,31,SPRING__UP,0,-127,0,0
20,3,25,0,CHECKPOINT,2,-96,0,0
21,3,14,29,BREAKABLE_WALL,0,-125,0,0
22,3,16,0,PLATFORM_CRUMBLING,48,-96,0,0
28,3,28,18,BOOSTER,100,1,0,0
29,3,1,5,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
29,3,4,5,TOGGLE_PLAYER_LAYER__BACK,0,0,3,16
29,3,14,31,SPRING__UP,0,-127,0,0
33,3,19,1,TOGGLE_PLAYER_LAYER__BACK,0,0,2,13
33,3,21,1,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,13
8,4,27,8,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
8,4,27,10,TOGGLE_PLAYER_LAYER__BACK,0,0,2,21
8,4,29,10,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,21
9,4,8,9,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
9,4,11,9,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
10,4,3,10,PLATFORM_THIN__FALLING,-67,118,0,0
10,4,1,28,BOOSTER,-65,0,0,0
11,4,0,4,CHECKPOINT,1,124,0,0
11,4,20,11,SPRING__RIGHT,2,117,0,0
14,4,20,12,SPRING__SMALL_UPLEFT,0,116,0,0
16,4,1,3,PLATFORM_THIN__FALLING,-1,125,0,0
17,4,27,8,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
17,4,27,10,TOGGLE_PLAYER_LAYER__BACK,0,0,2,20
17,4,29,10,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,20
17,4,10,28,PLATFORM_THIN__FALLING,-42,100,0,0
17,4,24,28,BOOSTER,-56,0,0,0
18,4,11,9,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
18,4,14,9,TOGGLE_PLAYER_LAYER__FRONT,0,0,4,4
24,4,12,2,FORCED_ICE_SLIDE,0,0,18,13
24,4,15,7,SKATING_STONE,1,0,0,0
24,4,28,10,FORCED_ICE_SLIDE,0,1,18,13
25,4,12,18,FORCED_ICE_SLIDE,0,2,18,13
28,4,9,16,BOOSTER,119,0,0,0
36,4,21,4,TOGGLE_PLAYER_LAYER__BACK,0,0,3,17
37,4,2,3,SPRING__DOWN,0,125,0,0
37,4,1,6,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
13,5,19,28,SKATING_STONE,1,0,0,0
14,5,20,15,SPRING__LEFT,0,81,0,0
15,5,2,8,SPIKES__NORMAL_UP,30,88,0,0
15,5,31,24,SPIKES__NORMAL_DOWN,1,72,0,0
18,5,18,27,SPRING__LEFT,0,69,0,0
29,5,18,26,BOOSTER,78,1,0,0
35,5,4,8,SPIKES__HIDING_UP,-100,88,0,0
35,5,2,27,SPRING__LEFT,-98,69,0,0
36,5,8,1,TOGGLE_PLAYER_LAYER__FRONT,-1,0,3,3
36,5,11,1,TOGGLE_PLAYER_LAYER__BACK,-1,0,3,3
38,5,13,20,STAGE_GOAL,1,1,0,0
14,6,24,24,AIR_BUBBLES,40,40,0,0
15,6,31,9,IA089,0,-7,2,9
16,6,13,9,IA089,0,-20,2,22
16,6,29,12,AIR_BUBBLES,-29,52,0,0
17,6,24,12,FERRIS_WHEEL,5,2,2,11
17,6,24,12,FERRIS_WHEEL,11,2,2,11
17,6,24,12,FERRIS_WHEEL,0,2,2,11
18,6,15,21,PLATFORM_THIN__FALLING,-79,43,0,0
20,6,14,16,SPRING__BIG_UPRIGHT,0,48,0,0
21,6,15,1,IA085,81,63,0,0
21,6,31,1,IA085,65,63,0,0
22,6,28,25,SPRING__RIGHT,0,39,0,0
22,6,8,27,MOVING_SPRING,0,-2,2,4
23,6,7,1,PLATFORM_THIN__FALLING,25,63,0,0
24,6,0,4,SPRING__BIG_UPRIGHT,0,60,0,0
27,6,29,18,AIR_BUBBLES,-125,46,0,0
28,6,23,21,PLATFORM_THIN,0,0,6,2
29,6,30,31,SPRING__UP,0,33,0,0
33,6,9,2,FERRIS_WHEEL,8,2,2,18
33,6,9,2,FERRIS_WHEEL,4,2,2,18
33,6,9,2,FERRIS_WHEEL,0,2,2,18
33,6,9,2,FERRIS_WHEEL,12,2,2,18
33,6,31,24,CHECKPOINT,6,40,0,0
34,6,4,31,SPRING__RIGHT,0,33,0,0
15,7,0,17,SPRING__RIGHT,0,15,0,0
