Adv2,ITEMS,17,32,
6,1,4,26,ONE_UP
5,4,23,1,RINGS_RANDOM
7,4,25,7,RINGS_5
13,5,2,17,INVINCIBILITY
6,7,2,1,SPEED_UP
10,15,2,16,RINGS_10
7,16,19,1,RINGS_10
15,17,9,17,SPEED_UP
6,18,20,21,SHIELD
10,18,17,9,RINGS_RANDOM
10,18,21,9,ONE_UP
16,18,12,5,INVINCIBILITY
7,19,30,1,RINGS_10
12,19,11,13,RINGS_5
5,20,2,16,INVINCIBILITY
8,20,12,5,RINGS_RANDOM
9,20,5,17,SHIELD
13,20,18,22,RINGS_RANDOM
5,21,28,2,RINGS_10
7,23,24,19,RINGS_RANDOM
9,24,3,9,SHIELD_MAGNETIC
9,24,29,9,RINGS_RANDOM
11,25,28,15,INVINCIBILITY
15,25,19,21,RINGS_RANDOM
4,26,31,17,RINGS_RANDOM
8,26,24,5,SHIELD
6,27,22,18,SHIELD
7,29,0,13,RINGS_RANDOM
9,29,8,5,ONE_UP
