Adv2,RINGS,17,32
6,1,28,20
6,1,31,20
7,1,2,20
6,2,19,20
6,2,19,25
6,2,19,30
10,2,2,24
10,2,5,24
10,2,8,24
10,2,20,24
10,2,23,24
10,2,26,24
11,2,5,24
11,2,8,24
11,2,11,24
6,3,18,4
6,3,14,7
7,3,31,22
7,3,31,26
7,3,31,30
9,3,7,33
10,3,6,21
10,3,11,24
10,3,17,27
10,3,23,30
11,3,30,8
11,3,30,12
11,3,30,16
5,4,18,10
5,4,14,12
5,4,13,17
8,4,9,2
8,4,12,2
8,4,15,2
9,4,7,4
9,4,7,7
5,5,13,21
5,5,15,27
5,5,21,28
6,5,9,3
6,5,12,3
6,5,15,3
6,5,18,3
6,5,21,3
6,5,24,3
6,5,27,3
6,5,9,6
6,5,12,6
6,5,15,6
6,5,18,6
6,5,21,6
6,5,24,6
6,5,27,6
6,5,6,28
6,5,9,28
6,5,12,28
6,5,15,28
6,5,18,28
6,5,21,28
6,5,24,28
6,5,27,28
6,5,30,28
8,5,2,29
8,5,5,29
8,5,8,29
10,5,6,17
10,5,10,17
10,5,14,17
11,5,2,17
11,5,6,17
11,5,10,17
12,5,7,25
12,5,10,25
12,5,13,25
7,6,18,5
7,6,21,5
7,6,24,5
8,6,12,28
8,6,12,32
9,6,32,15
10,6,3,15
10,6,6,15
11,6,19,18
11,6,22,18
11,6,25,18
12,6,20,17
12,6,20,21
12,6,4,25
12,6,20,25
12,6,4,28
12,6,4,31
6,7,4,20
6,7,8,22
6,7,12,24
8,7,12,4
11,7,31,30
11,7,27,32
12,7,25,24
12,7,28,24
12,7,31,24
7,8,22,13
7,8,26,15
7,8,30,17
8,8,22,29
8,8,26,31
8,8,30,33
10,8,29,15
10,8,25,17
10,8,21,19
11,8,23,2
8,9,15,22
8,9,11,24
8,9,7,26
9,9,13,7
9,9,9,9
9,9,5,11
10,9,2,19
10,9,6,21
10,9,10,23
6,10,15,22
6,10,11,24
6,10,7,26
7,10,13,7
7,10,9,9
7,10,5,11
11,10,6,5
11,10,10,7
11,10,14,9
12,10,8,22
12,10,12,24
12,10,16,26
5,11,11,29
5,11,17,31
5,11,23,33
7,12,9,10
7,12,15,12
7,12,21,14
9,12,29,14
9,12,24,16
10,12,2,12
11,12,4,8
11,12,8,8
11,12,12,8
6,13,1,11
6,13,5,11
6,13,9,11
8,13,25,18
8,13,20,20
8,13,15,22
9,13,25,12
9,13,29,12
10,13,1,12
10,13,23,21
10,13,27,23
10,13,31,25
12,13,16,14
12,13,16,18
12,13,16,22
8,14,19,28
8,14,22,28
9,14,7,27
9,14,10,27
5,15,29,27
5,15,32,27
6,15,3,27
8,15,6,30
8,15,6,33
12,15,10,32
12,15,14,32
12,15,18,32
13,15,31,27
14,15,2,27
14,15,5,27
6,16,23,20
6,16,27,20
6,16,31,20
7,16,29,21
7,16,23,23
7,16,20,29
8,16,6,4
11,16,15,23
11,16,18,23
11,16,21,23
12,16,26,19
12,16,29,19
12,16,32,19
13,16,23,16
13,16,22,20
13,16,19,23
4,17,13,20
4,17,13,24
4,17,13,28
5,17,19,24
5,17,23,24
5,17,27,24
12,17,16,32
14,17,7,15
14,17,10,15
14,17,13,15
15,17,5,30
15,17,8,30
15,17,11,30
15,17,2,33
15,17,5,33
15,17,8,33
15,17,11,33
15,17,14,33
7,18,20,20
7,18,24,20
7,18,28,20
8,18,15,15
8,18,18,15
8,18,21,15
9,18,14,30
9,18,14,33
12,18,12,2
12,18,8,4
14,18,5,31
14,18,8,31
14,18,11,31
15,18,2,4
15,18,5,4
15,18,8,4
15,18,11,4
15,18,14,4
6,19,14,9
6,19,17,9
6,19,20,9
6,19,14,12
6,19,17,12
6,19,20,12
8,19,16,12
8,19,19,12
8,19,22,12
9,19,14,4
9,19,22,32
12,19,2,7
12,19,5,7
12,19,8,7
14,19,28,5
14,19,28,9
14,19,28,13
4,20,31,2
5,20,3,2
5,20,7,2
6,20,8,4
6,20,12,4
6,20,16,4
7,20,23,4
7,20,23,8
7,20,23,12
9,20,22,4
9,20,22,8
10,20,21,22
10,20,22,26
10,20,25,28
11,20,1,12
11,20,5,12
11,20,9,12
11,20,23,33
11,20,26,33
11,20,29,33
12,20,1,29
12,20,4,29
12,20,7,29
14,20,17,16
14,20,20,16
14,20,23,16
5,21,26,31
5,21,29,31
5,21,32,31
6,21,14,7
6,21,10,9
6,21,6,11
10,21,10,17
10,21,13,17
10,21,16,17
10,21,26,17
10,21,29,17
10,21,32,17
13,21,20,6
13,21,16,8
13,21,12,10
8,22,13,31
9,22,29,9
9,22,4,31
10,22,1,9
10,22,5,9
10,22,20,9
10,22,24,9
10,22,28,9
11,22,32,33
8,23,13,3
8,23,13,7
8,23,13,11
9,23,4,2
9,23,4,5
9,23,26,5
9,23,30,7
10,23,2,9
11,23,26,4
11,23,4,7
11,23,24,9
11,23,4,11
11,23,4,15
11,23,24,25
11,23,24,29
11,23,24,33
12,23,6,4
12,23,8,9
4,24,25,15
4,24,25,18
4,24,25,21
9,24,2,25
9,24,6,25
9,24,10,25
10,24,32,25
11,24,2,30
11,24,6,32
12,24,14,32
12,24,18,32
12,24,22,32
6,25,26,12
6,25,30,12
7,25,2,12
9,25,24,3
9,25,27,6
9,25,30,9
10,25,32,17
11,25,8,9
11,25,2,12
11,25,14,12
11,25,16,17
1,26,15,13
1,26,18,13
1,26,21,13
1,26,2,16
1,26,2,19
1,26,2,22
2,26,6,8
2,26,6,11
2,26,6,14
4,26,24,15
4,26,24,18
4,26,24,21
8,26,13,9
8,26,14,13
8,26,17,16
10,26,32,4
10,26,32,8
10,26,32,12
14,26,6,5
14,26,9,5
14,26,12,5
14,26,6,8
14,26,9,8
14,26,12,8
3,27,15,4
3,27,18,4
3,27,21,4
5,27,4,12
5,27,8,14
5,27,12,16
5,27,20,20
5,27,24,22
5,27,28,24
6,27,3,9
6,27,3,13
9,27,7,15
9,27,10,15
9,27,13,15
11,27,22,10
11,27,22,14
11,27,22,18
5,28,16,32
5,28,19,32
5,28,22,32
6,28,8,24
6,28,11,24
6,28,14,24
9,28,19,32
9,28,22,32
9,28,25,32
11,28,30,33
12,28,17,9
12,28,21,9
12,28,25,9
12,28,1,33
12,28,4,33
13,28,32,6
14,28,3,2
14,28,3,6
14,28,6,6
14,28,3,10
14,28,3,14
5,29,24,23
5,29,27,23
5,29,30,23
6,29,7,12
6,29,10,12
6,29,13,12
7,29,26,15
7,29,22,18
7,29,18,21
8,29,29,18
9,29,19,3
9,29,22,3
9,29,25,3
9,29,2,20
9,29,6,22
11,29,31,22
12,29,7,18
12,29,3,20
10,30,7,3
10,30,10,3
10,30,13,3
